Entity,Code,Day,people_vaccinated_per_hundred,145610-annotations
Albania,ALB,2021-05-21,16.33,
Albania,ALB,2021-05-23,16.46,
Albania,ALB,2021-05-24,16.54,
Albania,ALB,2021-05-26,16.7,
Albania,ALB,2021-05-27,16.77,
Albania,ALB,2021-05-30,16.89,
Albania,ALB,2021-05-31,16.92,
Albania,ALB,2021-06-01,16.95,
Albania,ALB,2021-06-03,17.06,
Albania,ALB,2021-06-06,17.14,
Albania,ALB,2021-06-07,17.17,
Albania,ALB,2021-06-08,17.21,
Albania,ALB,2021-06-09,17.27,
Albania,ALB,2021-06-10,17.35,
Albania,ALB,2021-06-11,17.46,
Albania,ALB,2021-06-12,17.53,
Albania,ALB,2021-06-13,17.55,
Albania,ALB,2021-06-14,17.67,
Albania,ALB,2021-06-15,17.68,
Albania,ALB,2021-06-16,17.73,
Albania,ALB,2021-06-17,17.79,
Albania,ALB,2021-06-20,17.96,
Albania,ALB,2021-06-21,18.09,
Albania,ALB,2021-06-22,18.3,
Albania,ALB,2021-06-23,18.53,
Albania,ALB,2021-06-24,18.69,
Albania,ALB,2021-06-28,19.05,
Albania,ALB,2021-06-29,19.36,
Albania,ALB,2021-06-30,19.65,
Albania,ALB,2021-07-01,19.74,
Albania,ALB,2021-07-02,19.82,
Albania,ALB,2021-07-04,19.9,
Albania,ALB,2021-07-05,19.99,
Albania,ALB,2021-07-06,20.08,
Albania,ALB,2021-07-07,20.17,
Albania,ALB,2021-07-08,20.26,
Albania,ALB,2021-07-09,20.36,
Albania,ALB,2021-07-10,20.44,
Albania,ALB,2021-07-11,20.46,
Albania,ALB,2021-07-12,20.55,
Albania,ALB,2021-07-13,20.62,
Albania,ALB,2021-07-14,20.7,
Albania,ALB,2021-07-15,20.78,
Albania,ALB,2021-07-16,20.86,
Albania,ALB,2021-07-17,20.94,
Albania,ALB,2021-07-18,20.97,
Albania,ALB,2021-07-20,21.22,
Albania,ALB,2021-07-21,21.46,
Albania,ALB,2021-07-22,21.74,
Albania,ALB,2021-07-25,22.28,
Albania,ALB,2021-07-29,23,
Albania,ALB,2021-07-30,23.17,
Albania,ALB,2021-07-31,23.33,
Albania,ALB,2021-08-01,23.42,
Albania,ALB,2021-08-02,23.6,
Albania,ALB,2021-08-03,23.78,
Albania,ALB,2021-08-04,23.94,
Albania,ALB,2021-08-05,24.12,
Albania,ALB,2021-08-08,24.59,
Albania,ALB,2021-08-10,25.07,
Albania,ALB,2021-08-13,25.85,
Albania,ALB,2021-08-15,26.14,
Albania,ALB,2021-08-16,26.38,
Albania,ALB,2021-08-17,26.63,
Albania,ALB,2021-08-19,27.05,
